age,job,marital,education,default,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target2,balance2,,steps 
59,admin.,married,secondary,no,yes,no,unknown,5,may,1042,1,-1,0,unknown,1,positive,,taken equal values of both variables 
56,admin.,married,secondary,no,no,no,unknown,5,may,1467,1,-1,0,unknown,1,positive,,categorised them balance as positive negative 
41,technician,married,secondary,no,yes,no,unknown,5,may,1389,1,-1,0,unknown,1,positive,,
55,services,married,secondary,no,yes,no,unknown,5,may,579,1,-1,0,unknown,1,positive,,
54,admin.,married,tertiary,no,no,no,unknown,5,may,673,2,-1,0,unknown,1,positive,,
42,management,single,tertiary,no,yes,yes,unknown,5,may,562,2,-1,0,unknown,1,negative,,
56,management,married,tertiary,no,yes,yes,unknown,6,may,1201,1,-1,0,unknown,1,positive,,
60,retired,divorced,secondary,no,yes,no,unknown,6,may,1030,1,-1,0,unknown,1,positive,,
39,technician,single,unknown,no,yes,no,unknown,6,may,1623,1,-1,0,unknown,1,positive,,
37,technician,married,secondary,no,yes,no,unknown,6,may,608,1,-1,0,unknown,1,positive,,
34,admin.,married,secondary,no,no,no,unknown,6,may,1677,1,-1,0,unknown,1,positive,,
55,unemployed,divorced,secondary,no,yes,no,unknown,6,may,918,1,-1,0,unknown,1,positive,,
28,services,single,secondary,no,yes,no,unknown,6,may,1297,3,-1,0,unknown,1,positive,,
30,technician,married,secondary,no,yes,no,unknown,6,may,703,1,-1,0,unknown,1,positive,,
36,technician,married,secondary,no,yes,yes,unknown,6,may,1597,2,-1,0,unknown,1,positive,,
37,admin.,single,secondary,no,yes,yes,unknown,7,may,732,2,-1,0,unknown,1,positive,,
45,blue-collar,married,secondary,no,yes,no,unknown,7,may,1138,1,-1,0,unknown,1,positive,,
53,services,divorced,primary,no,yes,yes,unknown,7,may,591,1,-1,0,unknown,1,negative,,
38,admin.,single,secondary,no,yes,no,unknown,7,may,786,1,-1,0,unknown,1,positive,,
30,blue-collar,married,secondary,no,yes,no,unknown,7,may,1574,2,-1,0,unknown,1,positive,,
29,management,married,tertiary,no,yes,yes,unknown,7,may,1689,4,-1,0,unknown,1,positive,,
46,blue-collar,single,tertiary,no,yes,no,unknown,7,may,1102,2,-1,0,unknown,1,positive,,
31,technician,single,tertiary,no,yes,no,unknown,8,may,943,2,-1,0,unknown,1,positive,,
39,blue-collar,married,primary,no,no,no,unknown,8,may,813,1,-1,0,unknown,1,positive,,
35,management,divorced,tertiary,no,yes,no,unknown,8,may,1084,1,-1,0,unknown,1,positive,,
32,blue-collar,single,primary,no,yes,no,unknown,8,may,541,3,-1,0,unknown,1,positive,,
49,services,married,secondary,no,yes,no,unknown,8,may,1119,1,-1,0,unknown,1,negative,,
41,admin.,married,secondary,no,yes,no,unknown,8,may,1120,2,-1,0,unknown,1,positive,,
49,admin.,divorced,secondary,no,yes,yes,unknown,8,may,513,1,-1,0,unknown,1,positive,,
28,admin.,divorced,secondary,no,yes,no,unknown,8,may,442,2,-1,0,unknown,1,positive,,
43,management,single,tertiary,no,yes,no,unknown,8,may,756,1,-1,0,unknown,1,positive,,
43,management,divorced,tertiary,no,yes,no,unknown,8,may,2087,2,-1,0,unknown,1,positive,,
43,blue-collar,married,primary,no,yes,no,unknown,8,may,1120,2,-1,0,unknown,1,negative,,
37,unemployed,single,secondary,no,yes,no,unknown,8,may,985,2,-1,0,unknown,1,positive,,
35,blue-collar,single,secondary,no,yes,no,unknown,9,may,617,4,-1,0,unknown,1,positive,,
31,technician,single,tertiary,no,yes,no,unknown,9,may,483,3,-1,0,unknown,1,positive,,
46,technician,married,secondary,no,yes,no,unknown,9,may,772,1,-1,0,unknown,1,positive,,
43,blue-collar,single,secondary,no,yes,no,unknown,9,may,929,3,-1,0,unknown,1,positive,,
31,admin.,married,secondary,no,yes,no,unknown,9,may,538,1,-1,0,unknown,1,positive,,
28,blue-collar,single,secondary,no,yes,no,unknown,9,may,710,1,-1,0,unknown,1,positive,,
32,blue-collar,married,secondary,yes,yes,no,unknown,9,may,653,1,-1,0,unknown,1,negative,,
60,technician,married,primary,no,yes,no,unknown,9,may,1028,2,-1,0,unknown,1,positive,,
26,blue-collar,single,secondary,no,yes,no,unknown,9,may,654,1,-1,0,unknown,1,positive,,
40,blue-collar,married,secondary,no,yes,no,unknown,9,may,1692,2,-1,0,unknown,1,positive,,
28,blue-collar,single,secondary,no,yes,no,unknown,9,may,2016,2,-1,0,unknown,1,negative,,
33,blue-collar,divorced,primary,no,yes,no,unknown,9,may,665,2,-1,0,unknown,1,positive,,
45,blue-collar,married,primary,no,yes,no,unknown,12,may,460,5,-1,0,unknown,1,positive,,
32,management,single,tertiary,no,no,no,unknown,12,may,757,2,-1,0,unknown,1,positive,,
35,blue-collar,married,primary,no,no,no,unknown,13,may,504,4,-1,0,unknown,1,positive,,
33,management,divorced,secondary,no,yes,no,unknown,13,may,1346,1,-1,0,unknown,1,positive,,
38,management,married,tertiary,no,yes,no,unknown,13,may,568,4,-1,0,unknown,1,positive,,
24,services,single,secondary,yes,yes,no,unknown,13,may,1000,1,-1,0,unknown,1,negative,,
54,retired,divorced,tertiary,no,no,no,unknown,13,may,618,1,-1,0,unknown,1,negative,,
34,blue-collar,divorced,secondary,no,yes,no,unknown,13,may,2231,1,-1,0,unknown,1,positive,,
23,entrepreneur,single,primary,no,yes,no,unknown,13,may,395,2,-1,0,unknown,1,positive,,
60,blue-collar,married,primary,no,yes,yes,unknown,13,may,1015,1,-1,0,unknown,1,positive,,
48,management,married,tertiary,no,yes,no,unknown,13,may,683,2,-1,0,unknown,1,positive,,
45,entrepreneur,divorced,tertiary,no,yes,no,unknown,13,may,470,1,-1,0,unknown,1,negative,,
